Sub/Nr,Title,Cr,FilterSubject,GELS
ANTH-302 -02 000986,Gender and Culture,4,ANTH-Anthropology,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Global Perspective (08 GLOB)
ANTH-304 -01 000987,Anthropology of Religion,4,ANTH-Anthropology,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Global Perspective (08 GLOB)
ANTH-308 -50 000988,Archaeology: Explaining the Past,4,ANTH-Anthropology,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|People/Environment (10 ENVI)
ANTH-329 -01 000989,Race and Ethnicity: Sociological and Anthropological Perspectives,4,ANTH-Anthropology,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Human Diversity (07 HUMD)
ARTS-106 -01 000909,Introduction to Drawing,4,ARTS-Arts,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)
ARTS-106 -02 000910,Introduction to Drawing,4,ARTS-Arts,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)
ARTS-115 -01 000911,Introduction to Photography,4,ARTS-Arts,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)
ARTS-203 -01 000912,Introduction to Digital Arts,4,ARTS-Arts,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)
ARTS-203 -50 001224,Introduction to Digital Arts,4,ARTS-Arts,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)
ARTS-301 -01 000915,Current Topics: Alternative Photo Processes,2,ARTS-Arts,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)
ARTS-301 -02 000916,Current Topics: Sculptural Techniques,2,ARTS-Arts,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)
ARTS-302 -41 000917,Exhibition Practices,2,ARTS-Arts,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)
ARTS-306 -01 000918,Intermediate Drawing,4,ARTS-Arts,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)
ARTS-307 -01 001110,Intermediate Painting,4,ARTS-Arts,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)
ARTS-319 -01 000919,Topics in Printmaking: Relief,4,ARTS-Arts,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)
ARTS-320 -01 000920,Topics in Clay: Wheel-Throwing,3,ARTS-Arts,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)
ARTS-350I -41 000922,Arts Individualized Internship,,ARTS-Arts,
ARTS-360I -01 001353,Traditional and Virtual Environmental Watercolor Techniques,3,ARTS-Arts,
ARTS-360I -02 001354,Concept Art Objects and Landscape,4,ARTS-Arts,
ARTS-400 -01 000921,Capstone Seminar,4,ARTS-Arts,
BIOL-105 -01 000347,Human Biology,4,BIOL-Biology,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)
BIOL-107 -01 000348,"Biology, Race, and Racism",4,BIOL-Biology,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)
BIOL-111 -01 000350,General Biology I,4,BIOL-Biology,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)
BIOL-111 -02 000351,General Biology I,4,BIOL-Biology,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)
BIOL-112 -01 000352,General Biology II,4,BIOL-Biology,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)
BIOL-112 -02 000353,General Biology II,4,BIOL-Biology,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)
BIOL-211 -01 000354,Principles of Genetics,4,BIOL-Biology,
BIOL-221 -01 000355,Human Anatomy and Physiology I,4,BIOL-Biology,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)
BIOL-221L -01 000356,Human Anatomy and Physiology I Lab,0,BIOL-Biology,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)
BIOL-222 -01 000357,Human Anatomy and Physiology II,4,BIOL-Biology,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)
BIOL-222L -01 000377,Human Anatomy and Physiology II Lab,0,BIOL-Biology,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)
BIOL-222L -02 000378,Human Anatomy and Physiology II Lab,0,BIOL-Biology,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)
BIOL-225 -01 000380,Basic Microbiology,4,BIOL-Biology,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)
BIOL-225L -01 000381,Basic Microbiology Lab,0,BIOL-Biology,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)
BIOL-225L -02 000382,Basic Microbiology Lab,0,BIOL-Biology,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)
BIOL-302 -01 000383,Cell Biology and Histology,5,BIOL-Biology,
BIOL-304 -01 000384,Molecular Biology,5,BIOL-Biology,
BIOL-307 -01 000385,Biochemistry,5,BIOL-Biology,
BIOL-310 -01 000386,Ecology,5,BIOL-Biology,
BIOL-312 -01 000387,Evolution,5,BIOL-Biology,
BIOL-320 -01 001205,Ecosystem and Global Ecology,5,BIOL-Biology,Minnesota Transfer Curriculum/GELS Goals: People/Environment (10 ENVI)
BIOL-324 -01 000388,Invertebrate Biology,5,BIOL-Biology,
BIOL-330 -01 000389,Biology of Microorganisms,5,BIOL-Biology,
BIOL-415 -01 000390,Pollution Ecology,3,BIOL-Biology,Minnesota Transfer Curriculum/GELS Goals: People/Environment (10 ENVI)
BIOL-469 -01 001092,Seminars in Biology,1,BIOL-Biology,
BIOL-479 -01 000391,Advanced Topics in Biology: Comparative Vertebrate Anatomy,3,BIOL-Biology,
BIOL-489 -21 000392,Senior Research in Biology,2,BIOL-Biology,
BIOL-489 -22 000393,Senior Research in Biology,2,BIOL-Biology,
BLAW-310 -50 000427,Business Law: UCC and Contracts,4,BLAW-Business Law,
BLAW-320 -01 000428,Legal Environment of Organizations,4,BLAW-Business Law,
BLAW-320 -50 000429,Legal Environment of Organizations,4,BLAW-Business Law,
BLAW-320 -51 000430,Legal Environment of Organizations,4,BLAW-Business Law,
BLAW-430 -50 000431,Marketing and Advertising Law,4,BLAW-Business Law,
CFS-262 -01 000558,Computer and Operating Systems Fundamentals I,4,CFS-Computer Forensic Sciences,
CFS-262 -50 000559,Computer and Operating Systems Fundamentals I,4,CFS-Computer Forensic Sciences,
CFS-264 -01 000560,Computer and Operating Systems Fundamentals II,4,CFS-Computer Forensic Sciences,
CFS-280 -01 000561,Introduction to Computer Forensics,4,CFS-Computer Forensic Sciences,
CFS-345 -50 000562,Electronic Discovery I,4,CFS-Computer Forensic Sciences,
CFS-380 -01 000563,Digital Evidence Analysis,4,CFS-Computer Forensic Sciences,
CFS-484 -50 000564,Computer Laws,4,CFS-Computer Forensic Sciences,
CHEM-105 -01 000394,"Survey of General, Organic, and Biochemistry",4,CHEM-Chemistry,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)
CHEM-105L -01 000395,"Survey of General, Organic, and Biochemistry",0,CHEM-Chemistry,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)
CHEM-105L -02 000396,"Survey of General, Organic, and Biochemistry",0,CHEM-Chemistry,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)
CHEM-107 -01 000397,"Chemistry, Society and the Environment",4,CHEM-Chemistry,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)|People/Environment (10 ENVI)
CHEM-111 -01 000398,General Chemistry I,4,CHEM-Chemistry,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)
CHEM-111 -02 000399,General Chemistry I,4,CHEM-Chemistry,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)
CHEM-112 -01 000400,General Chemistry II,4,CHEM-Chemistry,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)
CHEM-112 -02 000401,General Chemistry II,4,CHEM-Chemistry,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)
CHEM-231 -01 000402,Organic Chemistry I,4,CHEM-Chemistry,
CHEM-231 -02 000404,Organic Chemistry I,4,CHEM-Chemistry,
CHEM-231L -01 000403,Organic Chemistry I Lab,1,CHEM-Chemistry,
CHEM-231L -02 000405,Organic Chemistry I Lab,1,CHEM-Chemistry,
CHEM-231L -03 001227,Organic Chemistry I Lab,1,CHEM-Chemistry,
CHEM-325 -01 000406,Biochemistry I: Biomolecule Structure and Function,3,CHEM-Chemistry,
CHEM-327 -01 000407,Biochemistry Laboratory,2,CHEM-Chemistry,
CHEM-332 -01 000408,Organic Chemistry II,4,CHEM-Chemistry,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)
CHEM-332L -01 000409,Organic Chemistry II Lab,1,CHEM-Chemistry,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)
CHEM-332L -02 001228,Organic Chemistry II Lab,1,CHEM-Chemistry,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)
CHEM-341 -01 000410,Quantitative Analysis,5,CHEM-Chemistry,
CHEM-350I -01 001271,Evaluations in Electroforming Thickness,5,CHEM-Chemistry,
CHEM-425 -01 001175,Polymer Chemistry and Dynamics,3,CHEM-Chemistry,
CHEM-441 -01 000411,Instrumental Analysis,5,CHEM-Chemistry,
CHEM-469 -21 001199,Seminars in Chemistry,1,CHEM-Chemistry,
CHEM-479 -01 000412,Special Topics: Polymer Chemistry and Dynamics,3,CHEM-Chemistry,
CHEM-488 -21 000413,Directed Research in Biochemistry,2,CHEM-Chemistry,
CHEM-488 -22 001188,Directed Research in Biochemistry,3,CHEM-Chemistry,
CHEM-489 -21 000414,Directed Research in Chemistry,2,CHEM-Chemistry,
CHEM-489 -22 000415,Directed Research in Chemistry,2,CHEM-Chemistry,
CJS-101 -01 000293,Introduction to Criminal Justice,3,CJS-Criminal Justice,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
CJS-101 -50 000294,Introduction to Criminal Justice,3,CJS-Criminal Justice,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
CJS-201 -01 000295,Foundations in Criminal Justice,3,CJS-Criminal Justice,
CJS-201 -02 000296,Foundations in Criminal Justice,3,CJS-Criminal Justice,
CJS-201 -50 000297,Foundations in Criminal Justice,3,CJS-Criminal Justice,
CJS-202 -01 000298,Introduction to Evidence-Based Practices,1,CJS-Criminal Justice,
CJS-210 -01 000299,Constitutional Law,3,CJS-Criminal Justice,
CJS-210 -50 000300,Constitutional Law,3,CJS-Criminal Justice,
CJS-300 -50 000301,Corrections and Community Corrections,4,CJS-Criminal Justice,
CJS-301 -01 000302,Research Methods in Criminal Justice,4,CJS-Criminal Justice,
CJS-301 -50 000303,Research Methods in Criminal Justice,4,CJS-Criminal Justice,
CJS-303 -01 000304,"Risk, Need, Responsivity in Evidence-Based Practices",3,CJS-Criminal Justice,
CJS-304 -01 000305,Case Planning with Justice-Involved Individuals,3,CJS-Criminal Justice,
CJS-305 -01 000306,The Criminal Court System,4,CJS-Criminal Justice,
CJS-305 -50 000769,The Criminal Court System,4,CJS-Criminal Justice,
CJS-320 -01 000308,Criminology and Public Policy,4,CJS-Criminal Justice,
CJS-320 -02 000309,Criminology and Public Policy,4,CJS-Criminal Justice,
CJS-333 -01 000311,Gangs,4,CJS-Criminal Justice,
CJS-350 -01 000312,Citizenship: Community Involvement,4,CJS-Criminal Justice,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
CJS-350 -50 000771,Citizenship: Community Involvement,4,CJS-Criminal Justice,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
CJS-360 -01 000314,Diversity in Criminal Justice,4,CJS-Criminal Justice,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Human Diversity (07 HUMD)
CJS-360 -02 000315,Diversity in Criminal Justice,4,CJS-Criminal Justice,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Human Diversity (07 HUMD)
CJS-360 -50 000316,Diversity in Criminal Justice,4,CJS-Criminal Justice,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Human Diversity (07 HUMD)
CJS-360 -51 000317,Diversity in Criminal Justice,4,CJS-Criminal Justice,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Human Diversity (07 HUMD)
CJS-360 -52 000318,Diversity in Criminal Justice,4,CJS-Criminal Justice,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Human Diversity (07 HUMD)
CJS-360I -01 001222,Recurrent Domestic Sexual Violence Within Families,2,CJS-Criminal Justice,
CJS-360I -02 001301,Private Security in the 21st Century,3,CJS-Criminal Justice,
CJS-365 -01 000319,Media in Criminal Justice: Fake News and High Drama,4,CJS-Criminal Justice,
CJS-375 -01 000320,Ethics and Professionalism in Criminal Justice,4,CJS-Criminal Justice,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)|Ethical/Civic Resp (09 ETHI)
CJS-375 -02 000321,Ethics and Professionalism in Criminal Justice,4,CJS-Criminal Justice,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)|Ethical/Civic Resp (09 ETHI)
CJS-375 -50 000322,Ethics and Professionalism in Criminal Justice,4,CJS-Criminal Justice,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)|Ethical/Civic Resp (09 ETHI)
CJS-377 -41 000323,Criminal Justice Practicum,,CJS-Criminal Justice,
CJS-382 -01 000324,Topics in Criminal Justice: One2One Mentoring,1,CJS-Criminal Justice,
CJS-382 -50 001193,Topics in Criminal Justice: Law Enforcement Wellness,4,CJS-Criminal Justice,
CJS-465 -50 000325,Criminal Justice Response to the Mentally Ill and Other Special Populations,4,CJS-Criminal Justice,
CJS-489 -01 000326,Criminal Justice Capstone Internship,4,CJS-Criminal Justice,
CJS-490 -01 000779,Criminal Justice Capstone Research,4,CJS-Criminal Justice,
CJS-490 -50 000780,Criminal Justice Capstone Research,4,CJS-Criminal Justice,
COMM-103 -01 001040,Public Speaking,3,COMM-Communication,Minnesota Transfer Curriculum/GELS Goals: Communication (01 COMM)
COMM-103 -02 001041,Public Speaking,3,COMM-Communication,Minnesota Transfer Curriculum/GELS Goals: Communication (01 COMM)
COMM-103 -03 001042,Public Speaking,3,COMM-Communication,Minnesota Transfer Curriculum/GELS Goals: Communication (01 COMM)
COMM-103P -31 001061,Public Speaking Proficiency Test,3,COMM-Communication,
COMM-200 -01 001043,"Creating Change through Communication, Writing and the Arts",4,COMM-Communication,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)|Ethical/Civic Resp (09 ETHI)
COMM-231 -01 001044,Introduction to Interpersonal Communication,3,COMM-Communication,Minnesota Transfer Curriculum/GELS Goals: Communication (01 COMM)
COMM-231 -02 001064,Introduction to Interpersonal Communication,3,COMM-Communication,Minnesota Transfer Curriculum/GELS Goals: Communication (01 COMM)
COMM-231 -51 001267,Introduction to Interpersonal Communication,3,COMM-Communication,Minnesota Transfer Curriculum/GELS Goals: Communication (01 COMM)
COMM-233 -01 001045,Introduction to Intercultural Communication,3,COMM-Communication,Minnesota Transfer Curriculum/GELS Goals: Human Diversity (07 HUMD)
COMM-320 -01 001046,Individual Rights and Public Discourse,4,COMM-Communication,Minnesota Transfer Curriculum/GELS Goals: Communication (01 COMM)|Ethical/Civic Resp (09 ETHI)
COMM-332 -01 001047,Negotiation And Mediation Skills,4,COMM-Communication,
COMM-333 -02 001063,Intermediate Intercultural Communication,4,COMM-Communication,Minnesota Transfer Curriculum/GELS Goals: Global Perspective (08 GLOB)
COMM-333 -03 001185,Intermediate Intercultural Communication,4,COMM-Communication,Minnesota Transfer Curriculum/GELS Goals: Global Perspective (08 GLOB)
COMM-333 -50 001049,Intermediate Intercultural Communication,4,COMM-Communication,Minnesota Transfer Curriculum/GELS Goals: Global Perspective (08 GLOB)
COMM-333 -51 001050,Intermediate Intercultural Communication,4,COMM-Communication,Minnesota Transfer Curriculum/GELS Goals: Global Perspective (08 GLOB)
COMM-333 -52 001048,Intermediate Intercultural Communication,4,COMM-Communication,Minnesota Transfer Curriculum/GELS Goals: Global Perspective (08 GLOB)
COMM-351 -50 001051,Communication in Work Groups,4,COMM-Communication,Minnesota Transfer Curriculum/GELS Goals: Communication (01 COMM)
COMM-352 -01 001052,Organizational Communication,4,COMM-Communication,Minnesota Transfer Curriculum/GELS Goals: Communication (01 COMM)
COMM-352 -50 001053,Organizational Communication,4,COMM-Communication,Minnesota Transfer Curriculum/GELS Goals: Communication (01 COMM)
COMM-365I -01 001290,Usability,4,COMM-Communication,
COMM-365I -02 001331,Communication in Work Groups,4,COMM-Communication,
COMM-372 -01 001054,Health Communication,4,COMM-Communication,Minnesota Transfer Curriculum/GELS Goals: Communication (01 COMM)|Human Diversity (07 HUMD)
COMM-372 -02 001055,Health Communication,4,COMM-Communication,Minnesota Transfer Curriculum/GELS Goals: Communication (01 COMM)|Human Diversity (07 HUMD)
COMM-372 -03 001056,Health Communication,4,COMM-Communication,Minnesota Transfer Curriculum/GELS Goals: Communication (01 COMM)|Human Diversity (07 HUMD)
COMM-372 -04 001186,Health Communication,4,COMM-Communication,Minnesota Transfer Curriculum/GELS Goals: Communication (01 COMM)|Human Diversity (07 HUMD)
COMM-372 -51 001268,Health Communication,4,COMM-Communication,Minnesota Transfer Curriculum/GELS Goals: Communication (01 COMM)|Human Diversity (07 HUMD)
COMM-381 -01 001057,Public Relations Principles,4,COMM-Communication,Minnesota Transfer Curriculum/GELS Goals: Communication (01 COMM)
COMM-385 -01 001058,Media Relations,4,COMM-Communication,
COMM-452 -01 001059,Advanced Organizational Communication,4,COMM-Communication,
COMM-481 -01 001060,Advanced Public Relations,4,COMM-Communication,
CYBR-332 -01 001180,Computer Security,4,CYBR-Cybersecurity,
CYBR-332 -50 001181,Computer Security,4,CYBR-Cybersecurity,
CYBR-332 -51 001182,Computer Security,4,CYBR-Cybersecurity,
CYBR-360I -01 001277,Security and Privacy Issues in E-Health and Vehicular Ad Hoc Networks,4,CYBR-Cybersecurity,
CYBR-362 -01 001179,Networking Protocols and Analysis,4,CYBR-Cybersecurity,
CYBR-412 -01 001183,Vulnerability Assessment and Penetration Testing,4,CYBR-Cybersecurity,
CYBR-621 -01 001163,Secure System Programming and OS Theory,4,CYBR-Cybersecurity,
CYBR-641 -01 001162,Cyber Operations Fundamentals,2,CYBR-Cybersecurity,
CYBR-645 -50 001165,Cyber Threat Hunting and Intelligence,2,CYBR-Cybersecurity,
CYBR-671 -01 001164,Digital Forensics I,2,CYBR-Cybersecurity,
CYBR-698 -50 001166,Cyber Operations Capstone Project,1,CYBR-Cybersecurity,
DATA-211 -01 000502,Data Science and Visualization,4,DATA-Data Science,
DATA-499 -01 000504,Data Science Capstone,4,DATA-Data Science,
DBA-700 -01 000432,Doctoral Seminar in the Development of Management Thought,4,DBA-Doctorate in Business Administration,
DBA-705 -01 000433,Foundations of Research Inquiry,4,DBA-Doctorate in Business Administration,
DBA-795 -01 000434,Directed Doctoral Research on Applied Projects,,DBA-Doctorate in Business Administration,
DBA-795 -02 001246,Directed Doctoral Research on Applied Projects,1,DBA-Doctorate in Business Administration,
DBA-795 -03 001251,Directed Doctoral Research on Applied Projects,1,DBA-Doctorate in Business Administration,
DBA-795 -04 001254,Directed Doctoral Research on Applied Projects,4,DBA-Doctorate in Business Administration,
DBA-795 -06 001285,Directed Doctoral Research on Applied Projects,4,DBA-Doctorate in Business Administration,
DENH-330 -50 000844,Dental Hygiene Care for Culturally Diverse and Special Needs Populations,3,DENH-Dental Hygiene,
DENH-410 -50 000845,Evidence-Based Dental Hygiene Practice,3,DENH-Dental Hygiene,
DENH-620 -01 000846,Pharmacological Principles in Practice,3,DENH-Dental Hygiene,
DENH-630 -01 000848,Management of Medical Emergencies,1,DENH-Dental Hygiene,
DENH-640 -01 000847,Restorative Dentistry I,6,DENH-Dental Hygiene,
DENH-685 -50 000849,Oral Health Literacy and Communication,1,DENH-Dental Hygiene,
DSCI-350I -01 001340,Logistics Coordinator Internship,4,DSCI-Decision Sciences,
DSCI-365I -01 001281,Lean Continuous Improvement through Six Sigma,4,DSCI-Decision Sciences,
DSCI-420 -50 000435,Project Management,4,DSCI-Decision Sciences,
DSCI-420 -51 000436,Project Management,4,DSCI-Decision Sciences,
DSCI-421 -50 000437,Project Planning and Budgeting,4,DSCI-Decision Sciences,
DSCI-434 -01 000438,Introduction to Operations Management,4,DSCI-Decision Sciences,
DSCI-434 -02 000439,Introduction to Operations Management,4,DSCI-Decision Sciences,
DSCI-434 -03 000440,Introduction to Operations Management,4,DSCI-Decision Sciences,
DSCI-434 -04 001115,Introduction to Operations Management,4,DSCI-Decision Sciences,
DSCI-434 -50 000441,Introduction to Operations Management,4,DSCI-Decision Sciences,
DSCI-434 -51 000442,Introduction to Operations Management,4,DSCI-Decision Sciences,
DSCI-434 -52 000443,Introduction to Operations Management,4,DSCI-Decision Sciences,
DSCI-434 -53 000444,Introduction to Operations Management,4,DSCI-Decision Sciences,
DSCI-434 -54 000445,Introduction to Operations Management,4,DSCI-Decision Sciences,
DSCI-440 -50 000446,Supply Chain Planning and Control,4,DSCI-Decision Sciences,
DSCI-444 -50 000447,Project Leadership and Execution,4,DSCI-Decision Sciences,
DSCI-450 -50 000448,Supply Chain and Operations Management Strategy,4,DSCI-Decision Sciences,
DSCI-620 -01 000449,Project Management,4,DSCI-Decision Sciences,
DSCI-630 -50 000450,Project Risk Management,4,DSCI-Decision Sciences,
DSCI-681 -50 000451,Operations Management,4,DSCI-Decision Sciences,
ECON-201 -01 000453,Macroeconomics,3,ECON-Economics,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
ECON-201 -02 000454,Macroeconomics,3,ECON-Economics,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
ECON-201 -50 000456,Macroeconomics,3,ECON-Economics,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
ECON-201 -51 000457,Macroeconomics,3,ECON-Economics,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
ECON-201 -52 000458,Macroeconomics,3,ECON-Economics,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
ECON-202 -01 000459,Microeconomics,3,ECON-Economics,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
ECON-202 -02 000460,Microeconomics,3,ECON-Economics,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
ECON-202 -50 000461,Microeconomics,3,ECON-Economics,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
ECON-202 -51 000462,Microeconomics,3,ECON-Economics,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
ECON-300 -50 001167,Analytical and Quantitative Methods for Economists,4,ECON-Economics,
ECON-311 -01 000463,Economics of the Environment,4,ECON-Economics,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|People/Environment (10 ENVI)
ECON-315 -50 000464,Economics of Diversity,4,ECON-Economics,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Human Diversity (07 HUMD)
ECON-317 -50 001174,Global Economic and Financial Crises: Theory and Policy,4,ECON-Economics,
ECON-351 -50 000465,Intermediate Macroeconomics,4,ECON-Economics,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
ECON-420 -01 000466,"Money, Banking and Financial Institutions",4,ECON-Economics,
ECON-420 -50 000467,"Money, Banking and Financial Institutions",4,ECON-Economics,
ECON-496 -50 000468,Managerial Economics,4,ECON-Economics,
ECON-611 -21 000469,Foundations of Economic Analysis,2,ECON-Economics,
ECON-696 -01 000470,Managerial Economics and Strategy,2,ECON-Economics,
EDU-200 -01 000004,Introduction to Urban Education and Reflective Teaching,3,EDU-Education,
EDU-203 -01 000005,Multicultural Education,3,EDU-Education,
