Sub/Nr,Title,Cr,Delivery,Instr,Schedule,Wkday,Loc,Wait List,Enrolled,Max Size,Curric ID,Supplement,CouStat,Dept,Level,FilterSubject,Bldg,GELS,Notes Export
ACCT-320 -50 000364,Strategic Management Accounting,4, LCTR (AYSN),"Hirsch, Steven August",08/22/2020–12/13/2020 –,, ,Y,32,32,'00002119',N,O,Accounting,Undergraduate,ACCT-Accounting,,,"Note: Refer to the course syllabus located in the Content section of the course D2L Web site and prepare the assignment for the first class meeting.This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|Online Participation Required First Week of Class."
ACCT-320 -51 000365,Strategic Management Accounting,4, LCTR (AYSN),"Hirsch, Steven August",08/22/2020–12/13/2020 –,, ,Y,30,32,'00002119',N,O,Accounting,Undergraduate,ACCT-Accounting,,,"Note: Refer to the course syllabus located in the Content section of the course D2L Web site and prepare the assignment for the first class meeting. This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|Online Participation Required First Week of Class."
ACCT-340 -01 000366,Accounting Information Systems,4, LCTR (AYSN),"Schaaf, Brenden A",08/22/2020–12/13/2020 –,, ,Y,32,32,'00002410',Y,O,Accounting,Undergraduate,ACCT-Accounting,,,"Fee: $27 database membership service. Note: Refer to the course syllabus located in the Content section of the course D2L Web site and prepare the assignment for the first class meeting. This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|Personal Property-Service Charge|Online Participation Required First Week of Class.|Note: This course has been converted to Completely Online-Asynchronous."
ACCT-510 -01 000368,Advanced Accounting,4, LCTR (SYNC),"Beltrand, Barbara A",08/26/2020–12/09/2020 6:00PM–9:20PM, W , ,Y,29,32,'00176082',Y,O,Accounting,Undergraduate,ACCT-Accounting,,,"Note: Read chapter one before first class meeting. This section of ACCT 510 is a synchronous (we meet together online via Zoom) course on Wednesdays from 6:00 p.m. to 9:20 p.m. starting Aug. 26 and ending Dec. 9. The syllabus will be posted in D2L Brightspace by 6:00 p.m. on the Aug. 26. There will be no assignments in the publisher¿s online resources, so you need not purchase ¿myBusinessCourse¿ unless you wish to use to those online learning tools as an additional study resource. To prepare for our 1st class session, read Chapter 1, take notes, and be prepared to work together on the major topics of the 1st chapter. Weekly projects will be take-home, open book and open notes, and collaboration with each other is encouraged. The exams will also be take-home, open book and open notes, but collaboration with others is prohibited. For Student Online Learning Resources go to www.metrosate.edu/solr|Note: This course has been converted to Completely Online-Synchronous.|Online Participation Required First Week of Class."
ACCT-510 -02 000369,Advanced Accounting,4, LCTR (SYNC),"Beltrand, Barbara A",08/24/2020–12/07/2020 6:00PM–9:20PM,M , ,Y,24,32,'00176082',Y,O,Accounting,Undergraduate,ACCT-Accounting,,,"Note: Read chapter one before first class meeting. This section of ACCT 510 is a synchronous (we meet together online via Zoom) course on Mondays from 6:00 p.m. to 9:20 p.m. starting Aug. 24 and ending Dec. 7. The syllabus will be posted in D2L Brightspace by 6:00 p.m. on the Aug. 24. There will be no assignments in the publisher¿s online resources, so you need not purchase ¿myBusinessCourse¿ unless you wish to use to those online learning tools as an additional study resource. To prepare for our 1st class session, read Chapter 1, take notes, and be prepared to work together on the major topics of the 1st chapter. Weekly projects will be take-home, open book and open notes, and collaboration with each other is encouraged. The exams will also be take-home, open book and open notes, but collaboration with others is prohibited. For Student Online Learning Resources go to www.metrosate.edu/solr|Online Participation Required First Week of Class."
ACCT-512 -01 000370,Auditing,4, LCTR (AYSN),"McCann, Linda M",08/22/2020–12/13/2020 –,, ,Y,29,32,'00002150',Y,O,Accounting,Undergraduate,ACCT-Accounting,,,"Online Participation Required First Week of Class.|Note: This course has been converted to Completely Online-Asynchronous.|Note: Read Chapters 1 and 2 before the first class meeting. Note: Online participation required first week of class. This course also requires several small group meetings to be held via Zoom or through other online technologies. The meeting times will be arranged to satisfy the needs of the small group members. In addition, class meetings will also be held via Zoom and may be attended live or through listening to a recording of the meeting. Read chapter 1 of the textbook and review the syllabus posted to D2L before the first week. Weekly online activities and assignments are due. Intermediate computer/internet skills required. No required in-person meetings. For online learning and course access information go to www.metrostate.edu/solr."
ACCT-512 -02 000371,Auditing,4, LCTR,"McCann, Linda M",08/27/2020–12/10/2020 6:00PM–9:20PM, H , MPLS TBA,Y,0,32,'00002150',N,C,Accounting,Undergraduate,ACCT-Accounting,MPLS,,Note: Read Chapters 1 and 2 before the first class meeting.
ACCT-520 -01 000373,Advanced Strategic Management Accounting,4, LCTR (AYSN),"Dosch, Jennifer H",08/22/2020–12/13/2020 –,, ,Y,30,32,'00002152',Y,O,Accounting,Undergraduate,ACCT-Accounting,,,Note: This course has been converted to Completely Online-Asynchronous.|Online Participation Required First Week of Class.|Note: Refer to the course syllabus located in the Content section of the course D2L Web site and prepare the assignment for the first class meeting. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.
ACCT-520 -50 001088,Advanced Strategic Management Accounting,4, LCTR (AYSN),"Dosch, Jennifer H",08/22/2020–12/13/2020 –,, ,Y,31,32,'00002152',N,O,Accounting,Undergraduate,ACCT-Accounting,,,Online Participation Required First Week of Class.|Note: Refer to the course syllabus located in the Content section of the course D2L Web site and prepare the assignment for the first class meeting. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.
ACCT-530 -01 000374,Business Taxation,4, LCTR (AYSN),"Horn, David Kenneth",08/22/2020–12/13/2020 –,, ,Y,31,32,'00002153',Y,O,Accounting,Undergraduate,ACCT-Accounting,,,"Note: This course has been converted to Completely Online-Asynchronous.|Note: Read chapter one before first class meeting. Note:&nbsp; This is a completely online course, not an independent study. The course has no required in-person or synchronous meetings. However, optional weekly online meetings will be held as an opportunity to ask questions and hold discussions with the instructor. There are required online activities and assignments each week. Intermediate computer/Internet skills required. For online learning and course access information go to&nbsp;www.metrostate.edu/solr.&nbsp;|Online Participation Required First Week of Class."
ACCT-530 -02 000375,Business Taxation,4, LCTR (AYSN),"Horn, David Kenneth",08/22/2020–12/13/2020 –,, ,Y,21,32,'00002153',Y,O,Accounting,Undergraduate,ACCT-Accounting,,,"Note: Read chapter one before first class meeting. This is a completely online course, not an independent study. The course has no required in-person or synchronous meetings. However, optional weekly online meetings will be held as an opportunity to ask questions and hold discussions with the instructor. There are required online activities and assignments each week. Intermediate computer/Internet skills required. For online learning and course access information go to&nbsp;www.metrostate.edu/solr.&nbsp;|Online Participation Required First Week of Class.|Note: This course has been converted to Completely Online-Asynchronous."
ACCT-620 -01 000376,Management Accounting,4, LCTR (BLHY),"Wilson, Lucy Jane",08/26/2020–12/09/2020 6:00PM–9:20PM, W , MPLS TBA,Y,0,25,'00002537',N,C,Accounting,Graduate,ACCT-Accounting,MPLS,,"Note: This course combines reduced classroom time with significant online work. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr. This course meets every other Wednesday on Aug. 26; Sept. 9, 23; Oct. 6, 20; Nov. 3, 17; Dec. 2.|Online Participation Required First Week of Class."
ACCT-620 -21 001221,Management Accounting,4, INDS (AYSN),"Hirsch, Steven August",08/22/2020–12/13/2020 –,, ,Y,2,2,'00002537',N,O,Accounting,Graduate,ACCT-Accounting,,,
ACCT-620 -50 000379,APCU: Management Accounting,4, LCTR (AYSN),"Hirsch, Steven August",08/22/2020–12/13/2020 –,, ,N,17,24,'00002537',Y,O,Accounting,Graduate,ACCT-Accounting,,,"Online Participation Required First Week of Class.|Note: Refer to the course syllabus located in the Content section of the course D2L Web site and prepare the assignment for the first class meeting. This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr."
ANTH-101 -01 000980,Human Origins,3, LCTR (AYSN),"Flowers, Heather Marie",08/22/2020–12/13/2020 –,, ,Y,24,24,'00002025',Y,O,Social Science,Undergraduate,ANTH-Anthropology,,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|People/Environment (10 ENVI),"Note: This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|Note: This course has been converted to Completely Online-Asynchronous.|Online Participation Required First Week of Class."
ANTH-101 -02 000981,Human Origins,3, LCTR (AYSN),"Flowers, Heather Marie",08/22/2020–12/13/2020 –,, ,Y,23,24,'00002025',Y,O,Social Science,Undergraduate,ANTH-Anthropology,,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|People/Environment (10 ENVI),"Note: This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|Online Participation Required First Week of Class.|Note: This course has been converted to Completely Online-Asynchronous."
ANTH-101 -03 000982,Human Origins,3, LCTR,"Staff, Staff ",08/27/2020–12/10/2020 6:00PM–8:30PM, H , SEC TBA,Y,0,24,'00002025',N,C,Social Science,Undergraduate,ANTH-Anthropology,SEC,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|People/Environment (10 ENVI),
ANTH-101 -50 000983,Human Origins,3, LCTR (AYSN),"Estrin Dashe, Alejandra Audrey",08/22/2020–12/13/2020 –,, ,Y,22,24,'00002025',N,O,Social Science,Undergraduate,ANTH-Anthropology,,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|People/Environment (10 ENVI),"Note: This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr."
ANTH-101 -51 001220,Human Origins,3, LCTR (AYSN),"Estrin Dashe, Alejandra Audrey",08/22/2020–12/13/2020 –,, ,N,24,24,'00002025',N,O,Social Science,Undergraduate,ANTH-Anthropology,,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|People/Environment (10 ENVI),"Online Participation Required First Week of Class.|Note: This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr."
ANTH-301 -50 000984,Approaches to Cultural Anthropology,4, LCTR (AYSN),"Tracy, Mark A",08/22/2020–12/13/2020 –,, ,Y,32,32,'00002026',N,O,Social Science,Undergraduate,ANTH-Anthropology,,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Global Perspective (08 GLOB),"Note: This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr."
ANTH-302 -01 000985,Gender and Culture,4, LCTR,"Staff, Staff ",08/24/2020–12/07/2020 6:00PM–9:20PM,M , MDWY TBA,Y,0,32,'00002027',N,C,Social Science,Undergraduate,ANTH-Anthropology,MDWY,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Global Perspective (08 GLOB),
ANTH-302 -02 000986,Gender and Culture,4, LCTR (AYSN),"Kreutzer, Daniel D",08/22/2020–12/13/2020 –,, ,Y,32,32,'00002027',Y,O,Social Science,Undergraduate,ANTH-Anthropology,,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Global Perspective (08 GLOB),"Online Participation Required First Week of Class.|Note: This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|Note: This course has been converted to Completely Online-Asynchronous."
ANTH-304 -01 000987,Anthropology of Religion,4, LCTR,"Staff, Staff ",08/26/2020–12/02/2020 1:00PM–4:20PM, W , STPL TBA,Y,0,32,'00002047',N,C,Social Science,Undergraduate,ANTH-Anthropology,STPL,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Global Perspective (08 GLOB),
ANTH-308 -50 000988,Archaeology: Explaining the Past,4, LCTR (AYSN),"Kreutzer, Daniel D",08/22/2020–12/13/2020 –,, ,Y,26,32,'00002035',N,O,Social Science,Undergraduate,ANTH-Anthropology,,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|People/Environment (10 ENVI),"Note: This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr."
ANTH-329 -01 000989,Race and Ethnicity: Sociological and Anthropological Perspectives,4, LCTR,"Staff, Staff ",08/27/2020–12/10/2020 1:00PM–4:20PM, H , STPL TBA,Y,0,32,'00192239',N,C,Social Science,Undergraduate,ANTH-Anthropology,STPL,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Human Diversity (07 HUMD),** Community Engagement|Overlap: SOC 329 Race and Ethnicity: Sociological and Anthropological Perspectives.|Racial Issues Graduation Requirement
ARTS-106 -01 000909,Introduction to Drawing,4, LCTR (SYNC),"Estlund, Shannon ",08/26/2020–12/09/2020 9:00AM–12:20PM, W , ,Y,16,18,'00002862',Y,O,"School of Communication, Writing and the Arts",Undergraduate,ARTS-Arts,,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN),"Note: This course has been converted to Completely Online-Synchronous.|Personal Property-Service Charge|Fee: $111 Note: There will be a supply fee associated with this course.
Note: This course has been converted to Completely Online-Synchronous course, not an independent study. Course has required synchronous online weekly meetings. To participate in the course, students must have access to a microphone, camera, and internet. Students will have to access D2L. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr."
ARTS-106 -02 000910,Introduction to Drawing,4, LCTR (SYNC),"Nelson, Kelli JoAnna",08/22/2020–12/12/2020 9:00AM–12:20PM, S , ,Y,16,18,'00002862',Y,O,"School of Communication, Writing and the Arts",Undergraduate,ARTS-Arts,,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN),"Personal Property-Service Charge|Fee: $111 Note: There will be a supply fee associated with this course. Note: This is a completely online course, not an independent study. Course has required synchronous online meetings. To participate in the course, students must have access to a microphone, camera, and internet. Students will have to access D2L. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|Note: This course has been converted to online."
ARTS-115 -01 000911,Introduction to Photography,4, LCTR (SYNC),"Dow, Beth ",08/25/2020–12/09/2020 1:00PM–4:20PM, W , ,Y,19,22,'00138735',Y,O,"School of Communication, Writing and the Arts",Undergraduate,ARTS-Arts,,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN),"Personal Property-Service Charge|Note: This course has been converted to online.|Fee $11 Note: Students must have access to a digital camera with manual functions and provide their own photographic paper. There will be a supply fee associated with this course.
Note: This is a completely online course, not an independent study. Course has required synchronous online meetings. To participate in the course, students must have access to a microphone, camera, and internet. Students will have to access D2L. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr."
ARTS-203 -01 000912,Introduction to Digital Arts,4, LCTR (AYSN),"Sands, Amy M",08/22/2020–12/13/2020 –,, ,Y,17,18,'00185322',Y,O,"School of Communication, Writing and the Arts",Undergraduate,ARTS-Arts,,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN),"Note: This course has been converted to Completely Online-Asynchronous.|Note: Access to a digital camera is beneficial (a camera phone will suffice). There may be other supplies needed as the course progresses. There will be a supply fee associated with this course. Note: This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|Online Participation Required First Week of Class."
ARTS-203 -50 001224,Introduction to Digital Arts,4, LCTR (AYSN),"Sands, Amy M",08/22/2020–12/13/2020 –,, ,Y,18,18,'00185322',N,O,"School of Communication, Writing and the Arts",Undergraduate,ARTS-Arts,,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN),"Note: Access to a digital camera is beneficial (a camera phone will suffice). There may be other supplies needed as the course progresses. There will be a supply fee associated with this course.
Note: This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|Online Participation Required First Week of Class."
ARTS-301 -01 000915,Current Topics: Alternative Photo Processes,2, LCTR (SYNC),"Dow, Beth ",08/24/2020–10/12/2020 1:00PM–4:20PM,M , ,Y,16,18,'00175967',Y,O,"School of Communication, Writing and the Arts",Undergraduate,ARTS-Arts,,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN),"This course has been converted to online.|Personal Property-Service Charge|Prerequisites: One introductory Arts class or instructor's consent. Fee: $11 Note: There will be a supply fee associated with this course. Note: This is a completely online course, not an independent study. Course has required synchronous online meetings. To participate in the course, students must have access to a microphone, camera, and internet. Students will have to access D2L. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr."
ARTS-301 -02 000916,Current Topics: Sculptural Techniques,2, LCTR (SYNC),"Sierralta, Alonso ",10/21/2020–12/09/2020 6:00PM–9:20PM, W , ,Y,15,18,'00175967',Y,O,"School of Communication, Writing and the Arts",Undergraduate,ARTS-Arts,,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN),"Note: This course has been converted to online.|Prerequisites: One introductory Arts class or instructor's consent. Note: This is a completely online course, not an independent study. Course has required synchronous online meetings. To participate in the course, students must have access to a microphone, camera, and internet. Students will have to access D2L. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr."
ARTS-302 -41 000917,Exhibition Practices,2, INTR (ARR),"Selski, Margo M",08/22/2020–12/13/2020 –,, ,Y,0,5,'00180408',N,C,"School of Communication, Writing and the Arts",Undergraduate,ARTS-Arts,,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN),Note: Variable meeting times at the library gallery on the St Paul campus. Contact the instructor for details. S/N only grade method.|** Community Engagement
ARTS-306 -01 000918,Intermediate Drawing,4, LCTR (SYNC),"Selski, Margo M",08/27/2020–12/10/2020 6:00PM–9:20PM, H , ,Y,16,18,'00002898',Y,O,"School of Communication, Writing and the Arts",Undergraduate,ARTS-Arts,,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN),"Prerequisite: ARTS 106 or instructor's consent. Fee: $118 Note: Nude models will be utilized for anatomical studies.There will be a supply fee associated with this course. Note: This is a completely online course, not an independent study. Course has required synchronous online meetings. To participate in the course, students must have access to a microphone, camera, and internet. Students will have to access D2L. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|Note: This course has been converted to online.|Personal Property-Service Charge"
